legacy_state,legacy_url,full_url,template,controller,auth_scope,module_file,modern_route,modern_component,status,notes
Root.WithOrg.Client.Wall.Item.Members,/Members?wall,/:organizationName/Wall/Members?wall,app/wall/item/members/members.html,wallMembersController,unspecified,src/webapp/src/client/app/wall/wall.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/wall/wall.module.js:38
Root.WithOrg.Client.Wall.List,/List,/:organizationName/Wall/List,app/wall/discover-walls/list/list.html,discoverWallsListController,unspecified,src/webapp/src/client/app/wall/wall.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/wall/wall.module.js:48
Root.WithOrg.Error,/Error/:errorCode,/:organizationName/Error/:errorCode,app/error.html,,unspecified,src/webapp/src/client/app/routing.js,TBD,TBD,unmapped,src/webapp/src/client/app/routing.js:99
Root.WithOrg.Forgot,/Forgot,/:organizationName/Forgot,app/auth/forgot-password/forgot-password.html,forgotPasswordController,unspecified,src/webapp/src/client/app/auth/auth.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/auth/auth.module.js:102
Root.WithOrg.Home,,/:organizationName,app/auth/login/loginAuth.html,loginAuthController,unspecified,src/webapp/src/client/app/routing.js,TBD,TBD,unmapped,src/webapp/src/client/app/routing.js:43
Root.WithOrg.Login,/Login,/:organizationName/Login,app/auth/login/loginAuth.html,loginAuthController,unspecified,src/webapp/src/client/app/auth/auth.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/auth/auth.module.js:86
Root.WithOrg.LogOff,/LogOff,/:organizationName/LogOff,,logOffController,unspecified,src/webapp/src/client/app/auth/auth.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/auth/auth.module.js:92
Root.WithOrg.PageNotFound,/PageNotFound,/:organizationName/PageNotFound,app/page-not-found.html,,unspecified,src/webapp/src/client/app/routing.js,TBD,TBD,unmapped,src/webapp/src/client/app/routing.js:107
Root.WithOrg.Register,/Register,/:organizationName/Register,app/auth/register/register.html,registerController,unspecified,src/webapp/src/client/app/auth/auth.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/auth/auth.module.js:96
Root.WithOrg.Reset,/Reset,/:organizationName/Reset,app/auth/reset-password/reset-password.html,resetPasswordController,unspecified,src/webapp/src/client/app/auth/auth.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/auth/auth.module.js:108
Root.WithOrg.Verify,/Verify,/:organizationName/Verify,,verifyEmailController,unspecified,src/webapp/src/client/app/auth/auth.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/auth/auth.module.js:114
Root.WithoutOrg,,,app/layout/layout.html,layoutController,unspecified,src/webapp/src/client/app/routing.js,TBD,TBD,unmapped,src/webapp/src/client/app/routing.js:57
Root.WithoutOrg.Home,,,app/auth/login/login.html,loginController,unspecified,src/webapp/src/client/app/routing.js,TBD,TBD,unmapped,src/webapp/src/client/app/routing.js:36
Root.WithoutOrg.Login,/Login,/Login,app/auth/login/login.html,loginController,unspecified,src/webapp/src/client/app/auth/auth.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/auth/auth.module.js:119
